Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag,logR
0.00015547,-2.0,8.0,0.0952305272,1.1299833059,0.095,-2.51,3.5644,5.135,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.45e-16,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,11.044,11.433,12.363,10.481,-0.8596043837040093
0.00015547,-2.0,8.0,0.1007106453,1.1770154238,0.1,-2.467,3.5693,5.136,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.7e-16,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,10.938,11.308,12.213,10.37,-0.8489661863484333
0.00015547,-2.0,8.0,0.1035686582,1.2002434731,0.103,-2.445,3.5721,5.137,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.84e-16,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,10.881,11.242,12.132,10.31,-0.843047573995847
0.00015547,-2.0,8.0,0.1069310308,1.2265263796,0.107,-2.422,3.5743,5.137,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.98e-16,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,10.825,11.177,12.057,10.252,-0.8347742975058283
0.00015547,-2.0,8.0,0.1170110181,1.2992911339,0.117,-2.353,3.5814,5.136,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.45e-16,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,10.654,10.981,11.828,10.074,-0.8148732554753525
0.00015547,-2.0,8.0,0.1234388798,1.3415665627,0.123,-2.311,3.5862,5.136,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.78e-16,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,10.548,10.859,11.684,9.964,-0.8040136306287344
0.00015547,-2.0,8.0,0.1252927482,1.3532303572,0.125,-2.301,3.5871,5.136,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.86e-16,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,10.522,10.83,11.651,9.938,-0.8005111798444051
0.00015547,-2.0,8.0,0.1433091164,1.4560320377,0.143,-2.198,3.5962,5.128,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.81e-16,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,10.265,10.544,11.326,9.674,-0.7672981676159024
0.00015547,-2.0,8.0,0.1573050171,1.5249379873,0.157,-2.131,3.6016,5.124,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-6.49e-16,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,10.098,10.36,11.119,9.504,-0.7450163601438163
0.00015547,-2.0,8.0,0.163179338,1.551525712,0.163,-2.102,3.6038,5.119,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-6.84e-16,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,10.026,10.281,11.031,9.43,-0.7343723841464542
0.00015547,-2.0,8.0,0.1668017507,1.5673085451,0.166,-2.086,3.6049,5.117,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-7.04e-16,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,9.985,10.236,10.982,9.388,-0.7294121423284057
0.00015547,-2.0,8.0,0.2029198259,1.703691721,0.203,-1.933,3.6152,5.091,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-9.34e-16,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001637,9.603,9.823,10.528,9.0,-0.6727181673918269
