MH,logAge,Mini,Mass,logL,logTe,logg,label,mbolmag,Gmag,G_BPmag,G_RPmag,logR
0.0,9.0,2.1175866127,2.116,2.204,3.6543,2.128,3,-0.741,-0.602,-0.007,-1.34,1.3177916453331406
0.0,9.0,2.1178147793,2.117,2.242,3.6514,2.079,3,-0.836,-0.685,-0.08,-1.43,1.3423942426612727
0.0,9.0,2.1180753708,2.117,2.287,3.6481,2.021,3,-0.947,-0.781,-0.164,-1.535,1.3713942426612726
0.0,9.0,2.1183304787,2.117,2.33,3.6448,1.965,3,-1.056,-0.875,-0.246,-1.637,1.3993942426612727
0.0,9.0,2.1186125278,2.117,2.378,3.6411,1.902,3,-1.175,-0.977,-0.336,-1.747,1.4308942426612727
0.0,9.0,2.1188910007,2.118,2.423,3.6376,1.843,3,-1.288,-1.072,-0.419,-1.851,1.4604967915372997
0.0,9.0,2.1191809177,2.118,2.464,3.6345,1.79,3,-1.39,-1.158,-0.495,-1.944,1.4869967915372997
0.0,9.0,2.1193757057,2.118,2.485,3.6328,1.762,3,-1.444,-1.203,-0.534,-1.993,1.5009967915373
0.0,10.0,0.0900000036,0.09,-3.421,3.3635,5.219,1,13.323,15.373,18.308,13.882,-0.913344931628771
0.0,10.0,0.1000000015,0.1,-3.237,3.3896,5.186,1,12.864,14.912,17.834,13.422,-0.8739661863484333
0.0,10.0,0.1095180213,0.109,-3.104,3.4072,5.163,1,12.531,14.579,17.491,13.09,-0.8437529373781216
0.0,10.0,0.1200000048,0.12,-2.971,3.4249,5.139,1,12.197,14.135,16.888,12.672,-0.810875563324621
0.0,10.0,0.1400000006,0.14,-2.788,3.4448,5.103,1,11.74,13.412,15.804,12.013,-0.7594021685093142
0.0,10.0,0.1482346505,0.148,-2.727,3.4506,5.091,1,11.589,13.186,15.478,11.805,-0.7413353286509546
0.0,10.0,0.1599999964,0.16,-2.646,3.4584,5.074,1,11.386,12.884,15.038,11.531,-0.7159061950204709
0.0,10.0,0.200000003,0.2,-2.427,3.4771,5.026,1,10.836,12.119,13.982,10.83,-0.6434511885164426
0.0,10.0,0.25,0.25,-2.214,3.4934,4.975,1,10.304,11.415,13.053,10.184,-0.5694961820124143
0.0,10.0,0.3000000119,0.3,-2.049,3.5038,4.931,1,9.893,10.911,12.434,9.714,-0.507905558988602
0.0,10.0,0.3500000238,0.35,-1.901,3.5125,4.885,1,9.523,10.472,11.909,9.301,-0.4514321641732954
0.0,10.0,0.3675432801,0.368,-1.848,3.5165,4.87,1,9.391,10.308,11.708,9.15,-0.4330422770116745
0.0,10.0,0.4000000358,0.4,-1.757,3.5236,4.843,1,9.162,10.027,11.367,8.89,-0.4014361906844521
0.0,10.0,0.4500000179,0.45,-1.606,3.536,4.793,1,8.785,9.566,10.812,8.465,-0.35085992946076155
0.0,10.0,0.5,0.5,-1.446,3.5517,4.742,1,8.385,9.069,10.211,8.012,-0.3024811841804239
0.0,10.0,0.5500000119,0.55,-1.267,3.5721,4.686,1,7.938,8.497,9.514,7.499,-0.2537848416013113
0.0,10.0,0.6000000238,0.6,-1.092,3.5975,4.65,1,7.5,7.922,8.81,6.995,-0.21689056115661173
0.0,10.0,0.6499999762,0.65,-0.912,3.6284,4.629,1,7.05,7.324,8.074,6.48,-0.18900950802700528
0.0,10.0,0.6561416984,0.656,-0.89,3.6324,4.626,1,6.995,7.249,7.981,6.417,-0.18551426666060336
0.0,10.0,0.7000000477,0.7,-0.736,3.6597,4.61,1,6.611,6.734,7.348,5.983,-0.16341716634130507
0.0,10.0,0.7189142108,0.719,-0.671,3.6711,4.602,1,6.447,6.523,7.096,5.804,-0.1536017411569921
0.0,10.0,0.7406622767,0.741,-0.596,3.6837,4.591,1,6.26,6.29,6.821,5.605,-0.1415570823587693
0.0,10.0,0.75,0.75,-0.564,3.6891,4.586,1,6.181,6.194,6.708,5.522,-0.13643555465258345
0.0,10.0,0.7565164566,0.756,-0.543,3.6922,4.58,1,6.127,6.13,6.635,5.466,-0.13170528859783015
0.0,10.0,0.7757515907,0.775,-0.479,3.7013,4.564,1,5.967,5.945,6.423,5.304,-0.11831533509527817
0.0,10.0,0.793291688,0.793,-0.421,3.7095,4.548,1,5.821,5.779,6.236,5.157,-0.10532959268963141
0.0,10.0,0.8000000119,0.8,-0.398,3.7125,4.541,1,5.766,5.716,6.165,5.101,-0.09992119285246169
0.0,10.0,0.8096140027,0.809,-0.366,3.7167,4.531,1,5.685,5.627,6.065,5.022,-0.09249192554229699
0.0,10.0,0.8266493082,0.826,-0.309,3.724,4.512,1,5.542,5.469,5.89,4.88,-0.07847616268824197
0.0,10.0,0.8419314623,0.841,-0.257,3.7302,4.493,1,5.412,5.329,5.736,4.753,-0.06506818844947737
0.0,10.0,0.8500000238,0.849,-0.23,3.7334,4.482,1,5.344,5.255,5.654,4.687,-0.05751234122645703
0.0,10.0,0.8648484349,0.864,-0.178,3.7389,4.46,1,5.215,5.117,5.503,4.562,-0.042709315108986665
0.0,10.0,0.880358398,0.879,-0.123,3.7443,4.435,1,5.078,4.974,5.347,4.432,-0.026471748811547107
0.0,10.0,0.8946489096,0.894,-0.072,3.749,4.409,1,4.949,4.84,5.202,4.309,-0.00979742695047436
0.0,10.0,0.8999999762,0.899,-0.052,3.7507,4.399,1,4.9,4.789,5.147,4.262,-0.0035863404818189076
0.0,10.0,0.9101797938,0.909,-0.014,3.7536,4.378,1,4.806,4.693,5.044,4.173,0.009315755262550386
0.0,10.0,0.9272469282,0.926,0.05,3.7578,4.338,1,4.646,4.529,4.871,4.019,0.03333930699253389
0.0,10.0,0.9426711798,0.941,0.107,3.7607,4.299,1,4.502,4.383,4.718,3.88,0.056328625365194965
0.0,10.0,0.9499999881,0.949,0.137,3.7619,4.278,1,4.428,4.309,4.641,3.808,0.06866691986521317
0.0,10.0,0.9547021985,0.954,0.156,3.7626,4.264,1,4.38,4.26,4.59,3.762,0.07680800100361408
0.0,10.0,0.9564049244,0.955,0.163,3.7628,4.258,1,4.362,4.242,4.572,3.744,0.08003549944343982
0.0,10.0,0.9658485055,0.965,0.204,3.7635,4.224,1,4.259,4.139,4.467,3.643,0.09929747032346292
0.0,10.0,0.9732162356,0.972,0.237,3.7635,4.195,1,4.177,4.056,4.384,3.561,0.11536694611470384
0.0,10.0,0.9815788269,0.981,0.276,3.7628,4.157,1,4.08,3.96,4.289,3.463,0.13636831734154095
0.0,10.0,0.9871484041,0.986,0.303,3.7618,4.128,1,4.014,3.895,4.225,3.396,0.15197227112217226
0.0,10.0,0.9889951348,0.988,0.311,3.7612,4.118,2,3.991,3.873,4.204,3.372,0.15741228594538065
0.0,10.0,0.9965278506,0.996,0.348,3.7575,4.07,2,3.9,3.784,4.124,3.276,0.1831634828634159
0.0,10.0,1.0,0.999,0.363,3.7538,4.041,2,3.862,3.75,4.097,3.233,0.19831655776455764
